Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
UGC711,26.4,6.6,0.9014,26.22618440290994,1727037842.0867171,0.0,1727037842.0867171,0.4859999999999989,7.3764614570947025,863518921.0433586,751547227.8330379,7.188304785644763,847476246.1556276,740165956.3958861,10.338848597088,1177840471.6290622,1028770888.9829,103216447.91247731,89965019.72840297,27.215794557466253,28.123313638106353
NGC3274,6.7,0.67,0.512,61.24661668183263,1132811939.372795,958999999.9999999,173811939.37279525,0.370000000000001,0.6550129377029537,86905969.68639763,32868173.63562957,0.624060327048442,81979719.2682816,30198775.568689737,1.5041561539534776,160272381.02096766,61050889.19069178,128611941.18169703,53129482.83349094,45.2081072278608,47.97765214472584
UGC07089,9.16,2.29,0.7773,39.94883231577459,2181411262.2508492,1699600000.0,481811262.25084925,0.5339999999999989,2.307259638036795,240905631.12542462,210002401.95546713,2.2249667527846566,232149196.68789354,202415762.76835638,3.430719228149714,348325887.08430046,304730226.65495497,82571725.90058449,71805819.96175255,29.620232507434622,31.71437099966368
UGC00891,7.39,1.478,0.6945,47.250561801545665,661976129.7308724,592200000.0,69776129.73087236,0.4419999999999984,1.1115672830807495,34888064.865436174,24700691.5623812,1.2707482899100389,44117247.912028365,31226312.572666675,1.5390951962440007,53101141.98020961,37473050.32423177,29102734.922431476,20423152.713555593,16.297583348079247,12.279694928793164
UGC07577,1.69,0.4225,0.45,65.70559431904962,75507222.70151132,61599999.99999999,13907222.701511336,0.42300000000000004,-,-,-,0.4762806431121114,6762026.7068427,5962624.748617565,0.4934273440422863,7074231.344981052,6223298.395257369,-,-,7.13389873463433,7.347861884155615
GASS10813,114.8,5.74,0.1938,0,100462788260.18814,824381117.4978237,99638407142.69032,1.0669999999999984,2.4901234192545436,49819203571.34516,9190613945.588392,3.4129236473378994,55015431787.384315,10287203179.350935,7.508894669542472,79413932154.54823,19015267746.490387,46531417762.042915,8349033968.239243,700.4156673598673,376.5201877276906
GASS11223,152.0,7.6000000000000005,0.4405,66.38600614320967,107874114650.12872,3134209593.9956727,104739905056.13306,0.9250000000000007,3.363113998442226,52369952528.06653,17087804668.452019,3.575556797562531,55089942275.9269,18065161388.57072,10.231547664612766,98365027669.83267,37015690597.914734,18255722493.360565,4004540659.583085,815.757220998177,760.180755704578
NGC6503,6.26,0.626,0.6841,48.11005588380268,6923196629.480335,0.0,6923196629.480335,0.7019999999999982,1.5920331339917713,3461598314.740168,1271211826.196282,1.8550771126366388,3973703277.216789,1448863036.4119647,4.961444159299315,6728638478.707718,2356542131.1583805,2290937906.195999,858358934.1712552,813.2498507639181,605.1718598856475
GASS3645,131.5,6.575,0.5468,58.707654954191234,33794231518.197323,4530311197.014792,29263920321.18253,0.7889999999999979,1.4697344327572648,14631960160.591265,3144446444.9816313,2.232147467136152,19337633925.30853,4210293102.0375876,7.470259526319667,28498204478.8944,10870753271.250002,11589096720.359844,2139742331.5771854,1165.9864145841957,525.3811317206099
UGC10564,18.415309788908736,1.8415309788908738,0.5222,60.506189246770354,1127527279.9668987,0.0,1127527279.9668987,0.4610000000000003,3.1910494657614548,563763639.9834493,214695089.65485448,3.637018527375401,634995149.8203294,246388433.53110734,4.7040639999999945,763688579.5955328,314718549.38316876,92918923.91250719,35244917.35001893,21.029359974957305,16.00796857734075
LSBD564-8,6.435457721930473,0.6435457721930473,0.0985,0,6789595.214537049,0.0,6789595.214537049,0.46499999999999986,-,-,-,0.5142081788048564,3644575.8350453456,1808179.9587634979,0.07134589090909099,482053.4295254729,222939.82307219706,-,-,2.9306945055416196,2.6967358651199453
GASS17640,149.5,7.4750000000000005,0.6041,54.423687222535314,135196296462.11717,5573500387.748957,129622796074.36821,0.9310000000000009,2.084623193836345,64811398037.184105,22797508933.412083,5.225627404360938,103471871024.95396,27957413057.94965,14.557431086875988,120154699548.69746,26348312724.247654,53763601035.49143,12149707447.208288,3009.9796594236923,560.8138457312928
NGC4183,18.0,4.5,0.8412,33.49568828647192,8875224713.15529,4908400000.0,3966824713.15529,0.5619999999999994,3.6931763239486366,1983412356.577645,1730858907.8985999,4.245350440802611,2188169738.6623354,1917763226.4183414,10.627175463268602,3438902343.3837867,2993828972.931379,679888986.5324522,598411885.3699957,78.8141271554862,67.04601857822134
GASS10019,131.9,6.595000000000001,0.5424,59.030824833701935,68896917615.0857,23775411134.464443,45121506480.62125,0.6859999999999982,3.498083186591954,22560753240.310623,4160098465.898654,6.26426490954673,32539524712.067482,7025806851.953726,14.715451953779235,43257016239.683495,11024828476.094206,7738811632.596631,1386126539.2634358,441.0320735958414,195.35695625627528
